,"Area
Code",St,Cnty,Own,NAICS,Year,Qtr,Area Type,St Name,Area,Ownership,Industry,Status Code,Establishment Count,April Employment,May Employment,June Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
18,01000,01,0.0,0,10,2021,2,State,Alabama,Alabama -- Statewide,Total Covered,"10 Total, all industries",,137847,1936487,1943482,1951992,25533813558,1010,1.0,1.0
19,01000,01,0.0,1,10,2021,2,State,Alabama,Alabama -- Statewide,Federal Government,"10 Total, all industries",,1255,55498,55441,55592,1221673081,1693,1.42,1.64
20,01000,01,0.0,2,10,2021,2,State,Alabama,Alabama -- Statewide,State Government,"10 Total, all industries",,1355,97554,97255,95965,1426479697,1132,1.55,1.69
21,01000,01,0.0,3,10,2021,2,State,Alabama,Alabama -- Statewide,Local Government,"10 Total, all industries",,3738,209813,210642,212164,2453196899,895,1.14,1.06
22,01000,01,0.0,5,10,2021,2,State,Alabama,Alabama -- Statewide,Private,"10 Total, all industries",,131499,1573622,1580144,1588271,20432463881,994,0.95,0.94
23,01000,01,0.0,5,101,2021,2,State,Alabama,Alabama -- Statewide,Private,101 Goods-producing,,18696,371779,371761,373225,5605567492,1158,1.27,1.36
24,01000,01,0.0,5,1011,2021,2,State,Alabama,Alabama -- Statewide,Private,1011 Natural resources and mining,,1851,16323,16473,16390,237505323,1114,0.66,0.84
25,01000,01,0.0,5,1012,2021,2,State,Alabama,Alabama -- Statewide,Private,1012 Construction,,10878,93429,93491,93403,1379063350,1135,0.91,1.0
26,01000,01,0.0,5,1013,2021,2,State,Alabama,Alabama -- Statewide,Private,1013 Manufacturing,,5967,262027,261797,263432,3988998819,1169,1.58,1.61
27,01000,01,0.0,5,102,2021,2,State,Alabama,Alabama -- Statewide,Private,102 Service-providing,,112803,1201843,1208383,1215046,14826896389,944,0.89,0.85
28,01000,01,0.0,5,1021,2021,2,State,Alabama,Alabama -- Statewide,Private,"1021 Trade, transportation, and utilities",,33081,378320,381190,381423,4427678138,896,1.03,1.09
29,01000,01,0.0,5,1022,2021,2,State,Alabama,Alabama -- Statewide,Private,1022 Information,,3089,19231,19604,19858,352675183,1387,0.52,0.32
30,01000,01,0.0,5,1023,2021,2,State,Alabama,Alabama -- Statewide,Private,1023 Financial activities,,14381,95691,96190,96240,1784070205,1429,0.85,0.78
31,01000,01,0.0,5,1024,2021,2,State,Alabama,Alabama -- Statewide,Private,1024 Professional and business services,,24462,250565,250709,249307,3827803215,1177,0.87,0.78
32,01000,01,0.0,5,1025,2021,2,State,Alabama,Alabama -- Statewide,Private,1025 Education and health services,,16925,229512,228611,229719,2989509304,1003,0.75,0.85
33,01000,01,0.0,5,1026,2021,2,State,Alabama,Alabama -- Statewide,Private,1026 Leisure and hospitality,,11506,184442,188087,193944,971164837,396,0.97,0.91
34,01000,01,0.0,5,1027,2021,2,State,Alabama,Alabama -- Statewide,Private,1027 Other services,,9359,44082,43992,44555,473995507,825,0.79,0.92
1191,02000,02,0.0,0,10,2021,2,State,Alaska,Alaska -- Statewide,Total Covered,"10 Total, all industries",,23676,300095,307076,315497,4723445759,1181,1.0,1.0
1192,02000,02,0.0,1,10,2021,2,State,Alaska,Alaska -- Statewide,Federal Government,"10 Total, all industries",,557,15040,15401,15655,343672372,1721,2.47,2.5
1193,02000,02,0.0,2,10,2021,2,State,Alaska,Alaska -- Statewide,State Government,"10 Total, all industries",,842,21897,20931,21081,355692374,1284,2.11,2.28
1194,02000,02,0.0,3,10,2021,2,State,Alaska,Alaska -- Statewide,Local Government,"10 Total, all industries",,651,38599,38975,33929,608424054,1259,1.13,1.43
1195,02000,02,0.0,5,10,2021,2,State,Alaska,Alaska -- Statewide,Private,"10 Total, all industries",,21626,224559,231769,244832,3415656959,1124,0.91,0.85
1196,02000,02,0.0,5,101,2021,2,State,Alaska,Alaska -- Statewide,Private,101 Goods-producing,,3773,37368,38962,45483,839648576,1591,0.96,1.1
1197,02000,02,0.0,5,1011,2021,2,State,Alaska,Alaska -- Statewide,Private,1011 Natural resources and mining,,579,11747,11927,12407,364015929,2328,3.08,6.95
1198,02000,02,0.0,5,1012,2021,2,State,Alaska,Alaska -- Statewide,Private,1012 Construction,,2555,14251,16505,18189,316253022,1491,1.1,1.25
1199,02000,02,0.0,5,1013,2021,2,State,Alaska,Alaska -- Statewide,Private,1013 Manufacturing,,639,11370,10530,14887,159379625,1000,0.55,0.35
1200,02000,02,0.0,5,102,2021,2,State,Alaska,Alaska -- Statewide,Private,102 Service-providing,,17853,187191,192807,199349,2576008383,1026,0.9,0.8
1201,02000,02,0.0,5,1021,2021,2,State,Alaska,Alaska -- Statewide,Private,"1021 Trade, transportation, and utilities",,4401,59425,60779,62103,818234628,1036,1.04,1.09
1202,02000,02,0.0,5,1022,2021,2,State,Alaska,Alaska -- Statewide,Private,1022 Information,,429,4727,4790,4881,92317229,1480,0.79,0.45
1203,02000,02,0.0,5,1023,2021,2,State,Alaska,Alaska -- Statewide,Private,1023 Financial activities,,1569,10423,10488,10734,174669945,1274,0.59,0.41
1204,02000,02,0.0,5,1024,2021,2,State,Alaska,Alaska -- Statewide,Private,1024 Professional and business services,,3975,25740,26669,27411,443217898,1281,0.59,0.49
1205,02000,02,0.0,5,1025,2021,2,State,Alaska,Alaska -- Statewide,Private,1025 Education and health services,,2762,50272,50047,49850,734690553,1129,1.01,1.13
1206,02000,02,0.0,5,1026,2021,2,State,Alaska,Alaska -- Statewide,Private,1026 Leisure and hospitality,,2741,27448,30622,34460,205086880,511,1.07,1.04
1207,02000,02,0.0,5,1027,2021,2,State,Alaska,Alaska -- Statewide,Private,1027 Other services,,1791,9015,9243,9664,105113561,869,1.06,1.11
1208,02000,02,0.0,5,1029,2021,2,State,Alaska,Alaska -- Statewide,Private,1029 Unclassified,,185,141,169,246,2677689,1111,0.46,0.35
1736,04000,04,0.0,0,10,2021,2,State,Arizona,Arizona -- Statewide,Total Covered,"10 Total, all industries",,180186,2900149,2901059,2857836,43302702350,1154,1.0,1.0
1737,04000,04,0.0,1,10,2021,2,State,Arizona,Arizona -- Statewide,Federal Government,"10 Total, all industries",,791,57325,57789,57928,1274297489,1699,1.01,1.01
1738,04000,04,0.0,2,10,2021,2,State,Arizona,Arizona -- Statewide,State Government,"10 Total, all industries",,324,69858,68580,66789,1007489927,1133,0.74,0.71
1739,04000,04,0.0,3,10,2021,2,State,Arizona,Arizona -- Statewide,Local Government,"10 Total, all industries",,1590,263502,263503,220942,3744265990,1155,0.81,0.96
